vehicles,algorithm,neural_network,rerouting,average_edge_usage,max_edge_usage,total_travel_cost,average_travel_cost,green_edges,yellow_edges,orange_edges,red_edges,rerouted_vehicles,runtime_seconds,total_nodes_visited
50,dijkstra,neural_network,True,1.9848942598187311,9,46253.847127229776,925.0769425445956,0,701,290,333,48,1.9796249866485596,44.98
50,dijkstra,neural_network,True,1.8316690442225392,9,44047.11977850001,880.9423955700003,0,817,293,292,49,1.994230031967163,44.98
100,dijkstra,neural_network,True,2.4261149919398175,13,88551.53426797943,885.5153426797942,879,407,188,387,92,2.239201068878174,42.81
100,dijkstra,neural_network,True,2.624420401854714,16,94637.27679886727,946.3727679886728,883,378,221,459,96,2.350253105163574,47.16
100,dijkstra,neural_network,True,2.5685071574642127,14,97842.22900488516,978.4222900488516,928,371,245,412,98,2.402372121810913,46.03
200,dijkstra,neural_network,True,3.559765625,32,189935.80007230933,949.6790003615466,1030,670,384,476,179,2.841594934463501,44.25
200,dijkstra,neural_network,True,3.5585207777354175,26,200744.96663465264,1003.7248331732632,1052,737,309,525,184,2.865324020385742,45.365
200,dijkstra,neural_network,True,3.6741780568895455,30,210905.43002850792,1054.5271501425395,1094,682,381,550,187,2.8886959552764893,48.575
400,dijkstra,neural_network,True,6.0320273631840795,69,431796.80327978806,1079.49200819947,1847,442,303,624,373,4.071495294570923,48.16
400,dijkstra,neural_network,True,5.687843616371411,59,424074.7550228298,1060.1868875570744,1652,599,337,686,340,4.047381639480591,46.7025
400,dijkstra,neural_network,True,5.71894832275612,67,416688.752285467,1041.7218807136676,1581,721,279,728,342,4.008800029754639,46.75
50,dijkstra,static,True,2.3175425610658773,14,35917.521907576716,718.3504381515344,684,314,142,211,45,2.007272958755493,47.3
50,dijkstra,static,True,1.9153627311522048,9,33119.36579710164,662.3873159420327,0,884,199,323,46,1.962048053741455,46.34
50,dijkstra,static,True,1.9754040758959943,10,32480.19800671811,649.6039601343622,0,786,347,290,43,1.9726040363311768,47.72
100,dijkstra,static,True,3.027604166666667,19,70251.8038866305,702.518038866305,814,589,122,395,84,2.3050312995910645,49.9
100,dijkstra,static,True,3.204004329004329,16,68489.9585899913,684.8995858999131,811,523,135,379,81,2.303866147994995,47.74
100,dijkstra,static,True,2.800527704485488,18,62378.3473663505,623.783473663505,901,297,338,359,81,2.2474071979522705,43.02
200,dijkstra,static,True,4.267390430237233,31,144028.4897293355,720.1424486466775,1369,383,248,487,176,2.9007210731506348,44.76
200,dijkstra,static,True,4.155944625407166,28,149876.73491030055,749.3836745515027,1234,476,228,518,174,2.905287027359009,46.65
200,dijkstra,static,True,3.9175803402646503,28,140625.154690824,703.12577345412,1070,621,366,588,178,2.850358009338379,45.465
400,dijkstra,static,True,6.049735778675785,41,297251.75887787034,743.1293971946758,1875,398,250,694,350,3.995319128036499,45.285
400,dijkstra,static,True,6.40354147250699,54,314876.8640592496,787.192160148124,1781,382,263,793,341,4.166619777679443,47.735
400,dijkstra,static,True,6.349187236604455,53,321287.8427293319,803.2196068233299,1870,389,285,778,352,4.288975238800049,46.8575
50,astar,neural_network,True,1.8425414364640884,7,45811.39529676021,916.2279059352041,0,816,271,361,50,2.145329236984253,46.68
50,astar,neural_network,True,1.8232789212207239,6,44457.795358347554,889.1559071669511,0,773,325,311,49,2.0663678646087646,43.86
50,astar,neural_network,True,1.816140350877193,8,42863.38808811676,857.2677617623351,0,746,381,298,49,2.11274790763855,44.22
100,astar,neural_network,True,2.6068464730290457,17,95163.58087165964,951.6358087165963,833,367,306,422,95,2.4928510189056396,45.7
100,astar,neural_network,True,2.4894472361809044,12,96177.34329587729,961.7734329587729,912,393,213,472,95,2.5055418014526367,46.79
100,astar,neural_network,True,2.3723664870161687,14,92032.55213524569,920.3255213524568,957,408,213,463,94,2.492542028427124,44.42
200,astar,neural_network,True,3.710811821922933,29,198002.24077455132,990.0112038727566,1070,645,421,537,188,3.3830201625823975,46.07
200,astar,neural_network,True,3.6637371035536876,26,193579.7363522263,967.8986817611315,1016,710,332,559,181,3.3356940746307373,45.52
200,astar,neural_network,True,3.8631498470948014,31,204622.11148371833,1023.1105574185916,1063,682,303,568,194,3.5612637996673584,48.225
400,astar,neural_network,True,5.667674629573631,54,415303.94478957774,1038.2598619739445,1671,593,352,691,349,5.094811916351318,46.095
400,astar,neural_network,True,5.5921288014311274,52,408481.9877531497,1021.2049693828743,1718,619,311,706,349,5.005688190460205,46.0625
400,astar,neural_network,True,5.680449984797811,64,417518.46187376376,1043.7961546844094,1747,555,300,687,348,5.321548223495483,45.855
50,astar,static,True,2.128419452887538,9,32528.745111937344,650.5749022387469,667,310,130,209,40,2.134575843811035,45.22
50,astar,static,True,2.0628930817610063,10,31871.713875207988,637.4342775041598,741,303,190,197,48,2.1041207313537598,45.86
50,astar,static,True,1.9298626174981923,8,33114.1864061857,662.2837281237139,0,775,259,349,47,2.106451988220215,48.12
100,astar,static,True,3.008492569002123,16,66198.67482398305,661.9867482398305,815,507,193,369,85,2.5134968757629395,46.73
100,astar,static,True,2.972340425531915,15,68331.25006513794,683.3125006513794,863,323,316,378,79,2.5344061851501465,47.62
100,astar,static,True,3.009304871373837,16,67463.21890915956,674.6321890915956,777,534,133,383,80,2.570812940597534,45.8
200,astar,static,True,4.113783886979763,30,153326.91467798018,766.6345733899009,1391,464,216,548,174,3.406702995300293,48.04
200,astar,static,True,4.515931372549019,25,145026.22302840927,725.1311151420464,1354,285,217,592,172,3.4154770374298096,47.74
200,astar,static,True,4.068897637795276,23,143321.83320182242,716.6091660091121,1411,386,189,554,176,3.3399899005889893,46.115
400,astar,static,True,6.55729004058695,50,312235.7564327357,780.5893910818393,1776,402,300,725,340,5.120666742324829,47.0025
400,astar,static,True,6.4626775460864305,54,302313.95485537953,755.7848871384489,1845,464,294,706,355,5.104183197021484,46.13
400,astar,static,True,6.229166666666667,44,296833.48354629544,742.0837088657386,1782,457,250,727,331,5.071271896362305,45.0525
